name,phone,address,website,rating,reviews,place_id
Parker & Sons,(602) 424-9619,"3636 E Anne St A, Phoenix, AZ 85040, USA",https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google,4.7,33820,ChIJh9Zo0KoPK4cRzTwhKAxIE8s
"Day & Night Air Conditioning, Heating, & Plumbing",(602) 584-7758,"3669 E La Salle St, Phoenix, AZ 85040, USA",https://www.dayandnightair.com/?utm_source=gmb&utm_medium=local&utm_campaign=phoenix-az,4.9,9466,ChIJmaAujXcNK4cRhAXQO7SXvGw
Desert Diamond Air Cooling & Heating,(623) 246-2377,"16602 N 25th Ave, Phoenix, AZ 85023, USA",https://desertdiamondhvac.com/residential/air-conditioning-repair/?utm_source=google&utm_medium=gmb&utm_campaign=phoenix&se_campaign=Google%20My%20Business%20-%20Clicked%20to%20Website,4.9,2480,ChIJq6qqqppxK4cRsF80JJDpm0w
Goettl Air Conditioning and Plumbing - Phoenix AZ,(602) 517-0039,"4611 E Baseline Rd, Phoenix, AZ 85042, USA",https://www.goettl.com/location/phoenix-arizona/?utm_source=Google&utm_medium=GMB&utm_campaign=PHX.GMB_Google_Business_Profile,4.7,14070,ChIJm2mOVdoOK4cRX23E2bR0XG8
Ideal Air Conditioning and Insulation,(480) 573-7604,"4127 E University Dr, Phoenix, AZ 85034, USA",https://www.idealairaz.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,4.9,1431,ChIJVVVVVREGK4cRMCvCmmg3zG4
Benefit Air Conditioning,(602) 840-9229,"1315 W Indian School Rd, Phoenix, AZ 85013, USA",http://www.benefitair.com/,4.9,722,ChIJT6Jz6j4MK4cRnKm9sj6lxtI
"Rite Way Heating, Cooling & Plumbing: Phoenix",(480) 725-8510,"1320 W Boxwood Ave, Gilbert, AZ 85233, USA",https://ritewayac.com/phoenix/,4.9,5146,ChIJj2pEmkCoK4cRnK8uaULXClw
Semper Fi Heating and Cooling,(480) 741-1440,"1335 S Clearview Ave, Mesa, AZ 85209, USA",https://www.semperfiheatingcooling.com/?utm_source=GBPMesa,4.8,12259,ChIJ5Qzr7mKxK4cRBW5km2KzbFU
APES HVAC & Plumbing,(623) 521-1172,"2222 W Parkside Ln STE 105, Phoenix, AZ 85027, USA",https://go4apes.com/,4.9,2565,ChIJw1lsJvppK4cRVtfJYqZsfbc
Scottsdale Air Heating & Cooling,(602) 834-2160,"4747 E Thomas Rd STE F, Phoenix, AZ 85018, USA",https://www.scottsdaleair.com/,4.9,445,ChIJlzlFE_cMK4cR0RUC2ynarq4
North Valley Mechanical HVAC & Plumbing,(602) 975-4247,"2110 W Greenway Rd, Phoenix, AZ 85023, USA",https://northvalleymechanical.com/,4.9,1355,ChIJdz-W0ax7K4cRH6iUH03G93M
George Brazil Air Conditioning & Heating,(602) 649-1374,"2655 E Magnolia St #200, Phoenix, AZ 85034, USA",https://georgebrazilhvac.com/?utm_source=google&utm_medium=gbp,4.7,5268,ChIJFVd68EcOK4cRB3AntTdAeSY
AZ Perfect Comfort Heating & Cooling,(602) 858-8261,"20650 N 29th Pl STE 104, Phoenix, AZ 85050, USA",https://azperfectcomfort.com/?utm_source=gbp&utm_medium=organic,4.9,761,ChIJoVDRRZRvK4cRQZE81NHqO8k
Alaskan Air Conditioning & Heating,(602) 529-5555,"2428 W Campus Dr, Tempe, AZ 85282, USA",https://www.alaskanac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*574*alaskan-air-tempe,4.7,2704,ChIJRTnuv1AIK4cRCO5DDhfs6AE
SG Mechanical Heating & Air,(623) 777-9577,"1725 W Williams Dr, Phoenix, AZ 85027, USA",https://www.sgmechanicalair.com/,4.9,430,ChIJh8g4MPZBK4cRY9-fxB7OPLs
"ACE Cooling, Heating, Plumbing and Electrical",(602) 830-2365,"5029 E Sunrise Dr, Phoenix, AZ 85044, USA",https://acehomeaz.com/areas-served/phoenix-az/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*9*ace-home-services-phoenix,4.7,6973,ChIJ1TqXDgsPK4cRjmNCS3whYqI
Island Breeze Air Conditioning & Heating LLC,(623) 692-6013,"809 E Fairmount Ave, Phoenix, AZ 85014, USA",https://islandbreeze-ac.com/,4.9,619,ChIJiUEK-FpPK4cRULTP40-eZeo
