name,phone,address,website,rating,reviews,place_id
D&H Air Conditioning & Heating & Plumbing,(520) 402-1810,"3990 S Evans Blvd, Tucson, AZ 85714, USA",https://www.dandhac.com/?utm_source=google&utm_medium=gbp-evans,4.8,3769,ChIJSxbjU0F71oYRdYEH_FlkeAU
"Rite Way Heating, Cooling & Plumbing",(520) 314-5053,"4551 S Alvernon Way, Tucson, AZ 85714, USA",https://ritewayac.com/?utm_source=google&utm_medium=gmb&utm_campaign=smp_gmb_tucson,4.9,12798,ChIJFQweybNv1oYRN6uaSvM_Ckk
Alaskan Air Conditioning & Heating Tucson,(520) 815-5555,"2305 N 7th Ave, Tucson, AZ 85705, USA",https://www.alaskanac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*575*alaskan-air-tucson,4.7,3680,ChIJQWnLxGtx1oYR-AKYEEAAdY0
"Intelligent Design Air Conditioning, Plumbing, Solar, & Electric",(520) 333-2665,"1145 E Fort Lowell Rd, Tucson, AZ 85719, USA",https://www.idesignac.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_primary_tucson,4.8,3731,ChIJvQ3jnG501oYRqNUFk4-5nno
Hamstra Heating & Cooling,(520) 629-9833,"4389 N Hwy Dr, Tucson, AZ 85705, USA",https://www.hamstrahvac.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp&utm_id=website,4.9,2647,ChIJEYhKCltw1oYRuqxvHXV2q0M
Dynamic Comfort AC and Heating,(520) 323-0008,"3855 N Oracle Rd, Tucson, AZ 85705, USA",https://dynamiccomfortacandheating.com/,5.0,629,ChIJkzuGDlZx1oYRSN-ULKYZxJY
"Temperature Control, Inc. A/C-Heating & Plumbing - Tucson, AZ",(520) 775-3566,"215 W Lester St, Tucson, AZ 85705, USA",https://temp-con.com/?utm_source=google+business+listing&utm_medium=organic&utm_campaign=click+to+website&utm_content=tucson,4.9,2204,ChIJZ5Be8T9x1oYR-4MljaoTYSE
Parker & Sons,(520) 363-2400,"3801 N Hwy Dr, Tucson, AZ 85705, USA",https://www.parkerandsons.com/tucson?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile-tucson&utm_medium=gmb&utm_source=google,4.7,5460,ChIJs0Kwqtd11oYRc2kliHXrapo
Tailored Mechanical,(520) 808-2743,"3144 E Fort Lowell Rd, Tucson, AZ 85716, USA",https://callplunkett.com/,4.9,798,ChIJJ8eQxvJx1oYRviq4uAGwhxw
City Heating and Cooling LLC,(520) 339-7228,"3382 E Holladay St, Tucson, AZ 85706, USA",https://www.cityheatingandcooling.org/,5.0,429,ChIJ_1ulZpK_HwgRLtqa0AWkBqQ
